iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.6329857110977173,0.6329857110977173,1.047825574874878,1.1294541358947754,0.09965111315250397,0.5505848526954651,321,346,333,1.8472990413875543,0.43437900396486984,3.2,0.8654752969741821,0.8053193688392639,0.12807036936283112,0.4554365277290344
5,0.6495761871337891,0.6392375662714244,0.9615354537963867,1.1703754663467407,0.10010553151369095,0.5538604855537415,286,314,400,2.509911747112251,0.33298554986545764,3.2,0.38130679726600647,0.9091612696647644,0.04391615837812424,0.5929032564163208
10,0.6604605317115784,0.6484487155925382,0.9034539461135864,1.2299787998199463,0.09473467618227005,0.5556532740592957,207,350,443,2.5525535719954573,0.6212690011357269,3.4,0.4384002387523651,0.8931816220283508,0.10721220821142197,0.5388638973236084
15,0.6720547080039978,0.6555852206485575,0.8496145009994507,1.241147756576538,0.09465960413217545,0.5556938648223877,169,377,454,2.7722681200243775,0.6703703709055202,3.6,0.39231836795806885,1.0578135251998901,0.03124847263097763,0.5341616868972778
20,0.6627957820892334,0.6598179768558089,0.8625447750091553,1.2594830989837646,0.10730738937854767,0.5312517285346985,149,404,447,2.9817273943343565,0.8432231316648945,4.0,0.42291098833084106,1.0957398414611816,0.03993624448776245,0.4823704659938812
25,0.6857501864433289,0.6667027715726987,0.7845739722251892,1.2888151407241821,0.08854226022958755,0.542169988155365,162,359,479,2.764424762387927,0.7068675221797653,4.4,0.6281855702400208,1.0017609596252441,0.17901553213596344,0.38192832469940186
30,0.6680440306663513,0.6677047580205638,0.8378662467002869,1.2909420728683472,0.10217729210853577,0.5686708688735962,134,400,466,2.49404885087403,0.3434186601894662,3.8,0.5800678133964539,0.9480392932891846,0.12882331013679504,0.5657855868339539
35,0.6769929528236389,0.6744782320596651,0.7928662300109863,1.2935199737548828,0.10539466887712479,0.5306344628334045,134,409,457,2.9579972254130906,1.3933922425423233,4.2,0.4809420108795166,0.9424847960472107,0.10909678786993027,0.4893244802951813
40,0.6718875169754028,0.676207698554734,0.8237125277519226,1.3186535835266113,0.09513428062200546,0.5559747219085693,153,434,413,2.117874404624401,0.3152757586001302,3.4,0.6094364523887634,0.956106960773468,0.11225086450576782,0.6305913329124451
45,0.6543763279914856,0.6717321672992588,0.893532931804657,1.2835534811019897,0.10579102486371994,0.5311661958694458,177,417,406,2.742674811296186,0.044798720716944504,4.0,0.609774649143219,0.992766261100769,0.0437714084982872,0.6655507683753967
